id,nom_estab,entidad,municipio,localidad
6167082,MARIMEX DEL PACIFICO,BAJA CALIFORNIA SUR,La Paz,La Paz
6166881,MARTER QUINTERO QUINTANA,BAJA CALIFORNIA SUR,Mulegé,Guerrero Negro
6166612,MAYORAL Y AMIGOS S.A. DE C.V.,BAJA CALIFORNIA SUR,Mulegé,Heroica Mulegé
6166600,MOYSES CABALLERO NASAREO,BAJA CALIFORNIA SUR,Mulegé,Santa Rosalía
6167153,MUJERES DEL GOLFO,BAJA CALIFORNIA SUR,Loreto,Ligüí
6189012,NAVIERA Y PESQUERA DEL PACIFICO,BAJA CALIFORNIA SUR,Comondú,Puerto San Carlos
6166873,NO FEAR,BAJA CALIFORNIA SUR,La Paz,El Pardito
169755,OFICINA DE LOS PINOS,BAJA CALIFORNIA SUR,Mulegé,Villa Alberto Andrés Alvarado Arámburo
6167144,ORGANIC SHRIMP,BAJA CALIFORNIA SUR,La Paz,Melitón Albáñez Domínguez
6167040,PATRICIA,BAJA CALIFORNIA SUR,La Paz,El Pardito
6166636,PERMISIONARIO,BAJA CALIFORNIA SUR,Comondú,Puerto San Carlos
6167166,PESCA DE CAMARÓN,BAJA CALIFORNIA SUR,Comondú,San Vicente
6166735,PESCA DE CAMARÓN,BAJA CALIFORNIA SUR,Comondú,Puerto San Carlos
6166733,PESCA DE CAMARÓN,BAJA CALIFORNIA SUR,Comondú,Puerto San Carlos
6166687,PESCA DE CAMARÓN,BAJA CALIFORNIA SUR,Comondú,Puerto San Carlos
6166979,PESCA DE CAMARÓN,BAJA CALIFORNIA SUR,Comondú,Ciudad Insurgentes
6166982,PESCA DE SARDINA Y ANCHOVETA,BAJA CALIFORNIA SUR,La Paz,Los Barriles
6166851,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",BAJA CALIFORNIA SUR,Mulegé,Bahía Tortugas
6166756,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",BAJA CALIFORNIA SUR,La Paz,Las Pacas
6166759,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",BAJA CALIFORNIA SUR,La Paz,Las Pacas
6166994,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",BAJA CALIFORNIA SUR,La Paz,El Cardonal
6167036,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",BAJA CALIFORNIA SUR,La Paz,El Cardonal
6167173,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",BAJA CALIFORNIA SUR,Mulegé,Bahía Asunción
6166623,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",BAJA CALIFORNIA SUR,Mulegé,Santa Rosalía
6166625,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",BAJA CALIFORNIA SUR,Mulegé,Santa Rosalía
6166626,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES",BAJA CALIFORNIA SUR,Mulegé,Santa Rosalía
